stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Development\Projects\Template\bin\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.04044] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04045] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04045] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04046] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04047] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04047] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04048] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04049] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04050] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04051] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04051] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04052] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04053] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04054] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04054] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04055] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04056] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04057] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04058] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04058] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04060] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04060] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04062] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04062] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04063] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04064] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04065] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04066] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04066] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04067] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04068] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04068] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04069] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04070] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04071] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04071] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04075] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04076] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04077] Single Buffer requirement not met.
